009491;NOCE CALIFORNIA / PRETO BRILHANTE                      ;NOCA/PRBL                                              ;30202
009500;CARVALHO AMETISTA                                      ;CVAM                                                   ;30120
009570;CARVALHO AMETISTA                                      ;CVAM/BR                                                ;30150
009590;CARVALHO AMETISTA / PRETO                              ;CVAM/PR                                                ;30206
009591;CARVALHO AMETISTA / PRETO BRILHANTE                    ;CVAM /PRBL                                             ;30198
009600;NOCE AREZZO                                            ;NOAR                                                   ;30137
009670;NOCE AREZZO                                            ;NOAR/BR                                                ;30151
009690;NOCE AREZZO / PRETO                                    ;NOAR/PR                                                ;30209
009691;NOCE  AREZZO / PRETO BRILHANTE                         ;ROSE/PRBL                                              ;30201
009700;CARVALHO MASISA                                        ;CVMS                                                   ;30160
009770;CARVALHO MASISA / BRANCO                               ;CVMS / BR                                              ;30161
AMAREL;Amarelo                                                ;Amarillo                                               ;9281
AZUL  ;Azul                                                   ;Azul                                                   ;9282
BRANCO;Branco                                                 ;Blanco                                                 ;9283
CINZA ;Cinza                                                  ;Gris                                                   ;9284
PRETO                                                  ;Preto                                                  ;Negro                                                  ;9285
VERDE ;Verde                                                  ;Verde                                                  ;9286
VERMEL;Vermelho                                               ;Rojo                                                   ;9287
AMAREL;Amarelo                                                ;Amarillo                                               ;14847
AZUL  ;Azul                                                   ;Azul                                                   ;14848
BRANCO;Branco                                                 ;Blanco                                                 ;14849
CINZA ;Cinza                                                  ;Gris                                                   ;14850
PRETO                                                  ;Preto                                                  ;Negro                                                  ;14851
VERDE ;Verde                                                  ;Verde                                                  ;14852
VERMEL;Vermelho                                               ;Rojo                                                   ;14853
AMAREL;Amarelo                                                ;Amarillo                                               ;20459
AZUL  ;Azul                                                   ;Azul                                                   ;20460
BRANCO;Branco                                                 ;Blanco                                                 ;20461
CINZA ;Cinza                                                  ;Gris                                                   ;20462
PRETO                                                  ;Preto                                                  ;Negro                                                  ;20463
VERDE ;Verde                                                  ;Verde                                                  ;20464
VERMEL;Vermelho                                               ;Rojo                                                   ;20465
AMAREL;Amarelo                                                ;Amarillo                                               ;26202
AZUL  ;Azul                                                   ;Azul                                                   ;26203
BRANCO;Branco                                                 ;Blanco                                                 ;26204
CINZA ;Cinza                                                  ;Gris                                                   ;26205
PRETO                                                  ;Preto                                                  ;Negro                                                  ;26206
VERDE ;Verde                                                  ;Verde                                                  ;26207
VERMEL;Vermelho                                               ;Rojo                                                   ;26208
